0 -668.773 218.847 -449.926 140.455 25.4124
0.1 -590.986 140.426 -450.559 90.1252 182.755
0.2 -549.002 99.23 -449.772 63.6855 194.507
0.3 -563.034 113.055 -449.979 72.5585 129.186
0.4 -553.555 103.612 -449.943 66.4978 134.137
0.5 -545.617 95.6583 -449.959 61.3932 128.237
0.6 -539.626 89.7088 -449.917 57.5748 118.616
0.7 -541.013 91.0695 -449.943 58.4482 94.4636
0.8 -528.485 78.529 -449.956 50.3997 106.521
0.9 -528.636 78.7101 -449.926 50.5159 85.6724
1 -523.373 73.4227 -449.951 47.1225 87.0217
1.1 -518.806 68.8816 -449.925 44.208 92.2333
1.2 -520.262 70.3513 -449.911 45.1513 86.1606
1.3 -522.131 72.2275 -449.903 46.3554 87.9457
1.4 -522.813 72.8873 -449.926 46.7789 93.4758
1.5 -520.773 70.8531 -449.92 45.4733 106.643
1.6 -527.393 77.5166 -449.876 49.7499 100.519
1.7 -530.921 81.0055 -449.915 51.9891 101.971
1.8 -533.146 83.2368 -449.909 53.4212 103.608
1.9 -533.141 83.2247 -449.916 53.4134 112.695
2 -538.678 88.8083 -449.87 56.9969 114.207
2.1 -545.752 95.846 -449.906 61.5137 110.131
2.2 -544.761 94.8145 -449.947 60.8517 117.152
2.3 -541.946 92.0412 -449.905 59.0717 118.618
2.4 -542.282 92.3263 -449.956 59.2547 113.269
2.5 -534.217 84.284 -449.933 54.0932 133.343
2.6 -539.192 89.3062 -449.885 57.3165 113.249
2.7 -537.804 87.8624 -449.942 56.3898 115.65
2.8 -535.355 85.4335 -449.921 54.831 112.245
2.9 -533.512 83.5816 -449.93 53.6425 109.52
3 -532.326 82.4251 -449.901 52.9002 105.526
3.1 -534.867 84.9326 -449.935 54.5095 93.6672
3.2 -531.679 81.7767 -449.903 52.484 101.607
3.3 -534.551 84.6318 -449.92 54.3164 91.6085
3.4 -530.603 80.6452 -449.957 51.7578 94.6986
3.5 -522.456 72.5202 -449.935 46.5432 107.502
3.6 -524.376 74.46 -449.916 47.7882 99.3009
3.7 -525.237 75.3462 -449.89 48.357 104.598
3.8 -533.603 83.7272 -449.876 53.7359 96.4228
3.9 -538.884 88.9569 -449.927 57.0923 90.9766
4 -531.605 81.668 -449.937 52.4142 117.364
4.1 -537.878 88.0216 -449.856 56.492 108.734
4.2 -541.084 91.1301 -449.954 58.4871 107.756
4.3 -537.122 87.2144 -449.908 55.974 122.684
4.4 -542.318 92.4268 -449.892 59.3192 117.809
4.5 -547.425 97.5515 -449.874 62.6083 115.944
4.6 -547.172 97.2474 -449.924 62.4131 120.421
4.7 -545.755 95.8155 -449.939 61.4941 118.312
4.8 -545.804 95.8833 -449.92 61.5376 108.493
4.9 -542.625 92.7054 -449.92 59.498 111.402
5 -543.009 93.1038 -449.905 59.7537 108.627
5.1 -539.845 89.8761 -449.969 57.6822 110.819
5.2 -539.724 89.8105 -449.913 57.6401 103.778
5.3 -536.833 86.9242 -449.909 55.7877 115.63
5.4 -541.801 91.8915 -449.909 58.9757 100.819
5.5 -540.767 90.8542 -449.913 58.31 105.27
5.6 -540.424 90.4775 -449.947 58.0682 104.267
5.7 -535.291 85.3584 -449.932 54.7828 111.887
5.8 -532.785 82.8706 -449.914 53.1861 116.963
5.9 -536.086 86.175 -449.911 55.3069 109.865
6 -533.785 83.8476 -449.937 53.8131 114.511
6.1 -532.564 82.6437 -449.921 53.0405 116.112
6.2 -538.343 88.4755 -449.867 56.7833 109.266
6.3 -541.185 91.2468 -449.938 58.5619 106.055
6.4 -541.43 91.5411 -449.889 58.7508 106.67
6.5 -544.252 94.336 -449.916 60.5445 98.0509
6.6 -540.702 90.7687 -449.933 58.2551 109.674
6.7 -540.036 90.1096 -449.926 57.832 111.75
6.8 -541.008 91.092 -449.916 58.4626 111.158
6.9 -541.055 91.1538 -449.901 58.5022 115.345
7 -540.015 90.0432 -449.972 57.7895 109.036
7.1 -529.705 79.7979 -449.907 51.2141 133.772
7.2 -537.523 87.6253 -449.897 56.2377 110.107
7.3 -533.906 83.967 -449.939 53.8898 117.046
7.4 -534.122 84.2194 -449.902 54.0517 109.645
7.5 -536.314 86.3979 -449.916 55.4499 107.263
7.6 -538.258 88.3336 -449.925 56.6923 96.4865
7.7 -529.881 79.9253 -449.956 51.2958 115.274
7.8 -531.842 81.936 -449.906 52.5863 103.853
7.9 -531.812 81.8834 -449.928 52.5525 105.061
8 -529.811 79.8927 -449.918 51.2749 107.708
8.1 -528.531 78.6028 -449.929 50.447 111.438
8.2 -528.555 78.6522 -449.903 50.4788 111.61
8.3 -530.787 80.8793 -449.908 51.9081 110.555
8.4 -535.543 85.6301 -449.913 54.9571 106.647
8.5 -534.555 84.6409 -449.914 54.3223 114.921
8.6 -537.275 87.3717 -449.903 56.0749 109.953
8.7 -535.997 86.0629 -449.934 55.2349 119.346
8.8 -534.836 84.9078 -449.928 54.4936 117.892
8.9 -531.238 81.326 -449.912 52.1948 127.997
9 -536.61 86.7153 -449.894 55.6536 116.126
9.1 -535.783 85.835 -449.948 55.0886 118.277
9.2 -531.541 81.6149 -449.926 52.3802 123.327
9.3 -530.716 80.793 -449.923 51.8527 121.961
9.4 -531.95 82.0307 -449.919 52.6471 115.695
9.5 -524.371 74.4271 -449.944 47.7671 130.617
9.6 -534.54 84.6916 -449.849 54.3548 107.648
9.7 -537.328 87.3831 -449.945 56.0822 101.061
9.8 -532.334 82.3972 -449.937 52.8823 108.051
9.9 -529.338 79.43 -449.908 50.9779 114.023
10 -534.237 84.3146 -449.922 54.1129 100.42
